id	author	documents	total link strength
474	"chan, kimberly l."	1	4	1.00
475	"chan, melanie m. y."	1	1	1.00
476	"chandran, siddharthan"	8	82	8.00
477	"chang, hing chiu charles"	1	2	1.00
478	"chapman, ashley j."	1	0	1.00
479	"chapman, paul"	2	17	2.00
480	"chappell, francesca m."	1	0	1.00
481	"charest, i."	1	17	1.00
482	"charest, ian"	2	49	2.00
483	"charles, sarah j."	1	9	1.00
484	"chasiotis, helen"	1	1	1.00
485	"chaudhuri, k. ray"	3	59	3.00
486	"chaudhuri, kallol ray"	1	18	1.00
487	"chaudhury, bishakha"	2	19	2.00
488	"checketts, matthew"	2	18	2.00
489	"chelban, viorica"	1	2	1.00
490	"chelvarajah, ramesh"	3	74	3.00
491	"chen, bailiang"	1	1	1.00
492	"chen, chao ping"	2	0	2.00
493	"chen, chaona"	7	75	7.00
494	"chen, chushuang"	1	6	1.00
495	"chen, gang"	1	141	1.00
496	"chen, haichao"	1	0	1.00
497	"chen, peii"	1	1	1.00
498	"chen, qiaoyu"	2	33	2.00
499	"chen, robert"	1	133	1.00
500	"chen, yi-chia"	1	0	1.00
501	"cheng, b."	1	3	1.00
502	"cheng, bastian"	25	135	25.00
503	"cheng, han y."	1	5	1.00
504	"cheng, kelvin k. w."	1	4	1.00
505	"cheng, po yee ivy"	1	2	1.00
506	"cheripelli, bharath k."	1	6	1.00
507	"cheripelli, bharath kumar"	3	70	3.00
508	"chesler, elissa j."	1	51	1.00
509	"chetcuti, ben"	1	0	1.00
510	"cheung, jonathan"	1	31	1.00
511	"chiang, michael c."	2	32	2.00
512	"chintawar, satyan"	1	31	1.00
513	"chisholm, kim, i"	1	8	1.00
514	"chivers, meredith"	1	0	1.00
515	"cho, shinho"	1	10	1.00
516	"cho, t. -h."	1	3	1.00
517	"cho, tae-hee"	10	84	10.00
518	"choi, minee l."	1	4	1.00
519	"choi, seungwon"	1	58	1.00
520	"chollet, mathieu"	1	0	1.00
521	"chong, ee zhuan"	2	5	2.00
522	"chouliaras, leonidas"	1	0	1.00
523	"chowdhury, j."	1	34	1.00
524	"chowdhury, tahseen a."	1	3	1.00
525	"christensen, john l."	2	15	2.00
526	"christensen, soren"	3	19	3.00
527	"christoforidou, eleni"	1	32	1.00
528	"chrysostomidou, lina"	1	3	1.00
529	"chung, hyowon"	2	37	2.00
530	"church, a. colin"	1	4	1.00
531	"cipolotti, lisa"	1	6	1.00
532	"clare, stuart"	3	35	3.00
533	"clark, alex j."	4	140	4.00
534	"clark, anne"	1	4	1.00
535	"clarke, c. e."	1	2	1.00
536	"clarke, carl e"	1	14	1.00
537	"clarke, joseph"	1	23	1.00
538	"clarke, william t."	2	26	2.00
539	"classen, joseph"	1	165	1.00
540	"clatworthy, philip"	1	2	1.00
541	"clavel, chloe"	1	11	1.00
542	"cleary, elaine"	2	56	2.00
543	"cleary, elaine m."	2	21	2.00
544	"cleary, james f."	1	52	1.00
545	"cleland woods, heather"	1	3	1.00
546	"clifton, andrew"	2	204	2.00
547	"clissold, benjamin b."	1	8	1.00
548	"cloud, geoffrey c."	1	196	1.00
549	"clouter, andrew"	2	97	2.00
550	"clunie, lauren"	1	12	1.00
551	"coan, susan"	1	11	1.00
552	"cogger-ward, heather"	1	5	1.00
553	"cohen, h."	1	3	1.00
554	"cohen, hannah"	17	124	17.00
555	"cohen, leonardo g."	1	165	1.00
556	"cohen, maya bleich"	1	8	1.00
557	"cohen, nichola rice"	1	11	1.00
558	"coldea, andra"	3	17	3.00
559	"cole, patricia e."	1	54	1.00
560	"coleman, thomas j., iii"	2	30	2.00
561	"colville, shuna"	3	22	3.00
562	"comber, darren"	1	36	1.00
563	"combrisson, etienne"	2	9	2.00
564	"conklin, kathy"	1	2	1.00
565	"conn, victoria l."	1	25	1.00
566	"connick, peter"	2	21	2.00
567	"connolly, stuart j."	2	31	2.00
568	"conrado, daniela j."	2	25	2.00
569	"cooley, sharon"	1	1	1.00
570	"cooper, andrew h"	1	3	1.00
571	"cooper, patrick"	1	1	1.00
572	"copeland, amber"	1	6	1.00
573	"cordes, cristoffer"	1	5	1.00
574	"corlett, philip r"	1	8	1.00
575	"corlett, philip r."	1	265	1.00
576	"cormack, magnus"	1	25	1.00
577	"cormier, jennifer"	1	16	1.00
578	"corrigan, elaine"	1	18	1.00
579	"corsbie-massay, charisse l."	2	15	2.00
580	"costa, albert"	1	14	1.00
581	"costa, rui m."	1	2	1.00
582	"costi, leone"	1	0	1.00
583	"costigan, michael"	1	51	1.00
584	"costreie, miruna"	1	5	1.00
585	"cottaar, michiel"	1	4	1.00
586	"cotterill, sarah"	1	52	1.00
587	"cotton, simon l."	1	0	1.00
588	"coupaud, sylvie"	2	6	2.00
589	"couper, elizabeth"	1	31	1.00
590	"coutts, shelagh b."	1	33	1.00
591	"cowie, f."	1	1	1.00
592	"cowley, sally a."	1	31	1.00
593	"craig, john"	1	1	1.00
594	"crawford, hayley"	1	23	1.00
595	"crenna-jennings, w."	1	9	1.00
596	"crighton, diane"	1	8	1.00
597	"cristino, fil"	1	9	1.00
598	"crivelli, carlos"	2	60	2.00
599	"croft, daniel r."	1	8	1.00
600	"crosetta, monica"	1	8	1.00
601	"cross, emily"	1	2	1.00
602	"cross, emily s"	2	1	2.00
603	"cross, emily s."	37	336	37.00
604	"cross, ian"	1	0	1.00
605	"cross, s. emily"	1	9	1.00
606	"cruz, gabriela"	2	8	2.00
607	"cullen, b."	1	2	1.00
608	"cullen, breda"	5	126	5.00
609	"curley, lee j"	3	4	3.00
610	"curley, lee j."	3	16	3.00
611	"curley, lee john"	1	0	1.00
612	"curtis, a. m."	1	10	1.00
613	"curtis, anne m."	1	49	1.00
614	"curtis, annie m."	1	9	1.00
615	"cutts, quintin"	2	4	2.00
616	"cuzick, jack"	1	1	1.00
617	"d'angelo, egidio ugo"	1	0	1.00
618	"dabhad, ammarah"	1	3	1.00
619	"dahl, andrew"	1	0	1.00
620	"dahl, martin j."	1	18	1.00
621	"dalal, sarang s."	1	11	1.00
622	"dale, anders m."	1	2	1.00
623	"dallares, eva"	1	42	1.00
624	"dallel, radhouane"	3	36	3.00
625	"damgaard, dorte"	1	2	1.00
626	"damion, robin a."	1	2	1.00
627	"dani, krishna"	2	35	2.00
628	"dani, krishna a."	1	5	1.00
629	"daniel, tarun"	1	33	1.00
630	"dar, sahira"	1	3	1.00
631	"darda, kohinoor m."	2	3	2.00
632	"dare, s."	1	13	1.00
633	"darley, emily"	2	198	2.00
634	"dascalu, diana"	1	7	1.00
635	"daskalakis, zafiris j."	1	133	1.00
636	"daube, christoph"	8	123	8.00
637	"davalos, a."	1	10	1.00
638	"davalos, antoni"	14	424	14.00
639	"davare, marco"	2	5	2.00
640	"davenport, richard"	2	4	2.00
641	"davies, alexander j."	1	51	1.00
642	"davis, matthew h."	1	0	1.00
643	"davis, olivia"	1	15	1.00
644	"davis, stephen"	1	0	1.00
645	"davis, stephen m."	6	123	6.00
646	"dawson, jesse"	3	45	3.00
647	"dawson, neil"	5	56	5.00
648	"dawydiak, eugene j."	1	10	1.00
649	"day, matthew"	2	32	2.00
650	"dayas, christopher v."	1	0	1.00
651	"daykin, matt"	1	1	1.00
652	"daykin, matthew"	1	18	1.00
653	"de boisferon, anne hillairet"	1	3	1.00
654	"de castro, catalina s. arteaga"	1	3	1.00
655	"de foe, alexander"	1	6	1.00
656	"de jong, dorina"	1	1	1.00
657	"de jong, maartje c."	1	0	1.00
658	"de la prida, liset"	1	12	1.00
659	"de lange, floris p."	1	82	1.00
660	"de luca, emanuele"	1	0	1.00
661	"de martino, federico"	1	7	1.00
662	"de melo, celso m."	3	39	3.00
663	"de nijs, monique"	1	15	1.00
664	"de ridder, i. r."	1	10	1.00
665	"de ridder, inger r."	1	41	1.00
666	"de rochemont, richard du mesnil"	1	4	1.00
667	"de sousa, gabriela"	1	7	1.00
668	"de tiege, xavier"	1	8	1.00
669	"de weerd, peter"	1	19	1.00
670	"dean, afshan"	1	13	1.00
671	"debener, stefan"	1	20	1.00
672	"debette, s."	1	1	1.00
673	"debruine, lisa"	1	73	1.00
674	"debruine, lisa m."	55	639	55.00
675	"debruine, lisa marie"	1	2	1.00
676	"dekker, niek"	1	2	1.00
677	"del carmen bas, maria"	1	21	1.00
678	"delafield-butt, j."	1	0	1.00
679	"delis, ioannis"	4	9	4.00
680	"delisle, michelle m."	1	58	1.00
681	"delles, c."	1	2	1.00
