id	author	documents	total link strength
875	"le bihan, d."	1	7
876	"le faouder, p."	1	20
877	"le goff, k."	1	8
878	"learmonth, g."	8	43
879	"lebois, l.a.m."	6	21
880	"lee, a.j."	14	89
881	"lee, d.s."	1	9
882	"lee, h.c."	1	9
883	"lee, k.h."	1	9
884	"lee, w.l."	1	7
885	"lefevre, c.e."	1	4
886	"legou, t."	1	8
887	"lenart, s."	1	10
888	"lenartz, d."	1	7
889	"lennen, r.j."	1	8
890	"lepola, p."	1	11
891	"lepsien, j."	1	8
892	"leung, d."	2	15
893	"leuski, a."	1	5
894	"leuthold, h."	1	4
895	"leweke, f.m."	2	25
896	"lhommet, m."	6	52
897	"li, b."	5	18
898	"li, m."	1	11
899	"li, x."	4	14
900	"li, y."	1	3
901	"liddle, p."	1	5
902	"liebig, p."	1	3
903	"liepelt, r."	1	4
904	"liinamaa, j."	1	10
905	"lim, r."	1	4
906	"lim, s."	1	3
907	"lindberg, l."	1	10
908	"linden, d.e.j."	1	5
909	"lindsay, s."	1	3
910	"lindsay, s.l."	2	13
911	"lioumis, p."	1	21
912	"little, a.c."	10	56
913	"liu, x."	2	8
914	"livingstone, k."	1	14
915	"lizier, j.t."	1	10
916	"llanas, d."	1	10
917	"lo russo, g."	1	12
918	"lo, t.-w.r."	1	7
919	"lobier, m."	5	19
920	"logothetis, n.k."	5	16
921	"london, r.e."	1	6
922	"lopez gonzalez, m.r."	1	7
923	"lopez-gonzalez, m.r."	1	8
